2025-10-12 13:19:13,260 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,260 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,260 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,260 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,260 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,261 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,261 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,261 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,261 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,261 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,261 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,261 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,262 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,262 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,262 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,262 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,262 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,262 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,262 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,263 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,263 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,263 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,263 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,263 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,263 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,263 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,264 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,264 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,264 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,264 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,264 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,264 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,264 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,265 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,265 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,265 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,265 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,265 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,265 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,265 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,265 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,266 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,266 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,266 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,266 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,266 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,266 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,266 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,267 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,267 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,267 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,267 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,267 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,267 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,267 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,267 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,268 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,268 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,268 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,268 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,268 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,268 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,268 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,269 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,269 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,269 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,269 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,269 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,269 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,269 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,269 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,270 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,270 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,270 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,270 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,270 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,270 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,270 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,271 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,271 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,271 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,271 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,271 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,271 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,271 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,272 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,272 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,272 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,272 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,272 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,272 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,272 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,273 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,273 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,273 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,273 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,273 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,273 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,273 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,273 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,274 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,274 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,274 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,274 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,274 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,274 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,274 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,275 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,275 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,275 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,275 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,275 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,275 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,275 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,275 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,276 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,276 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,276 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,276 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,276 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,276 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,276 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,277 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,277 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,277 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,277 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,277 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,277 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,277 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,278 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,278 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,278 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,278 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,278 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,278 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,278 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,278 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,279 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,279 - INFO -   → All files exist, skipping
2025-10-12 13:19:13,279 - INFO -   → All files exist, skipping
